,ts_local_iso,dt_local,regime,side,qty,entry_price,exit_price,pnl,pnl_pct,risk_usdt,pnl_r,reason
1,2025-12-14T12:37:59-03:00,2025-12-14T15:37:59.000Z,TREND,SHORT,0.0153256704980842,130.5,130.55,-0.0007662835249043,-0.000007662835249043886,0.0035796314690998,-0.21406771381887638,DELTA_FLIP_LONG
3,2025-12-14T12:38:59-03:00,2025-12-14T15:38:59.000Z,TREND,LONG,0.015319800842589,130.55,130.51,-0.0006127920337038,-0.000006127920337038753,0.0034703971041898,-0.17657692053856833,DELTA_FLIP_SHORT
5,2025-12-14T12:39:59-03:00,2025-12-14T15:39:59.000Z,TREND,SHORT,0.0153244962071871,130.51,130.56,-0.0007662248103595,-0.000007662248103595337,0.0033384329856364,-0.22951630709862395,DELTA_FLIP_LONG
7,2025-12-14T12:40:59-03:00,2025-12-14T15:40:59.000Z,TREND,LONG,0.0153186274509803,130.56,130.56,0,0,0.0031972631939447,0,DELTA_FLIP_SHORT
9,2025-12-14T12:41:59-03:00,2025-12-14T15:41:59.000Z,TREND,SHORT,0.0153186274509803,130.56,130.69,-0.0019914215686273,-0.00001991421568627381,0.0031494282179069,-0.632312099480328,DELTA_FLIP_LONG
11,2025-12-14T12:42:59-03:00,2025-12-14T15:42:59.000Z,TREND,LONG,0.0153033897008187,130.69,130.68,-0.000153033897008,-0.0000015303389700804814,0.0031347143872026,-0.048819087835484276,DELTA_FLIP_SHORT
13,2025-12-14T12:43:59-03:00,2025-12-14T15:43:59.000Z,TREND,SHORT,0.0153045607591062,130.68,130.74,-0.0009182736455464,-0.000009182736455464076,0.0030094154217638,-0.3051335614569973,DELTA_FLIP_LONG
15,2025-12-14T12:44:59-03:00,2025-12-14T15:44:59.000Z,TREND,LONG,0.0152975370965274,130.74,130.68,-0.0009178522257916,-0.000009178522257916823,0.0029898573477945,-0.3069886349155298,DELTA_FLIP_SHORT
17,2025-12-14T12:45:59-03:00,2025-12-14T15:45:59.000Z,TREND,SHORT,0.0153045607591062,130.68,130.65,0.0004591368227732,0.000004591368227732038,0.0029087527578045,0.1578466308424757,DELTA_FLIP_LONG
19,2025-12-14T12:46:59-03:00,2025-12-14T15:46:59.000Z,TREND,LONG,0.0153080750095675,130.65,130.66,0.0001530807500955,0.0000015308075009553624,0.0029148245230271,0.052517998557430404,DELTA_FLIP_SHORT
