hour_local,trades,sum_r,expectancy_r,winrate,pf,max_dd_r
0,0,0,,,,
1,5,2.019834059438166,0.40396681188763317,0.8,6.3393647700440745,-0.3782910788883024
2,6,0.07391986823433205,0.012319978039055343,0.3333333333333333,1.07971061216754,-0.46888524407129056
3,4,2.7299696727778877,0.6824924181944719,0.5,6.329328034496865,-0.34819705273407464
4,5,-2.549353251556422,-0.5098706503112844,0,0,-1.5066497210990288
5,3,0.688995700244452,0.22966523341481734,0.6666666666666666,4.0201410779655395,-0.22813361444313088
6,0,0,,,,
7,0,0,,,,
8,0,0,,,,
9,8,-1.4998704799193678,-0.18748380998992098,0.25,0.4698242000294168,-2.2068874298456884
10,5,-0.8691154253235096,-0.17382308506470193,0.6,0.34101380420911237,-0.9889828497418643
11,0,0,,,,
12,23,-5.39582795932812,-0.23460121562296174,0.21739130434782608,0.0876353215124826,-5.312082295134459
13,25,1.0353021015875525,0.0414120840635021,0.48,1.2317033823503636,-1.1895056651359932
14,2,3.0181961435633022,1.5090980717816511,1,Infinity,0
15,0,0,,,,
16,0,0,,,,
17,8,1.6528824091091339,0.20661030113864173,0.75,2.698819250822114,-0.1449653321292398
18,6,-4.4387235603137825,-0.7397872600522971,0.16666666666666666,0.0064118019725272705,-4.108626432284316
19,0,0,,,,
20,3,2.8512691557143968,0.9504230519047989,0.6666666666666666,4.834084211376286,0
21,7,-3.117262546841554,-0.4453232209773649,0.14285714285714285,0.08182572006966551,-1.9217314310323235
22,3,1.312319826821961,0.43743994227398697,0.6666666666666666,28.576770159818146,-0.047587872662989694
23,0,0,,,,
